Target-gene,temperature,width_px,width
col,25-29,41,17.02060546875
col,25-29,42,17.4357421875
col,25-29,46,19.0962890625
col,25-29,43,17.85087890625
col,25-29,39,16.19033203125
col,25-29,53,22.00224609375
col,25-29,45,18.68115234375
col,18,59,24.49306640625
col,18,51,21.17197265625
col,18,61,25.32333984375
col,18,54,22.4173828125
col,18,52,21.587109375
col,18,51,21.17197265625
col,18,49,20.34169921875
col,18,78,32.3806640625
col,18,59,24.49306640625
