,gene,temperature,width
0,dpp,18,26.421360334270158
1,dpp,18,22.579115833236255
2,dpp,18,27.844413853171602
3,dpp,18,21.582978370005243
4,dpp,18,25.47265798833586
5,dpp,18,29.789253662336904
6,dpp,18,24.713696111588426
7,dpp,18,26.658535920753728
8,dpp,18,22.341940246752678
9,dpp,18,27.844413853171595
10,dpp,18,23.24320747539026
11,dpp,18,24.666260994291704
12,dpp,18,26.18418474778658
13,dpp,18,28.081589439655172
14,dpp,18,26.231619865083296
15,dpp,18,27.749543618578173
16,dpp,18,27.796978735874884
17,dpp,18,22.48424559864283
18,dpp,18,26.18418474778658
19,dpp,18,35.766078441722975
20,dpp,18,20.25479508569723
21,dpp,18,23.14833724079683
22,dpp,18,27.37006268020445
23,dpp,18,27.41749779750117
24,dpp,18,23.76499376565413
25,dpp,18,28.034154322358454
26,dpp,18,22.958596771609976
27,dpp,18,25.75726869211615
28,dpp,18,23.053467006203405
29,dpp,18,25.99444427859972
30,dpp,18,24.0021693521377
31,dpp,18,27.654673383984743
32,dpp,18,27.13288709372088
33,dpp,18,28.034154322358454
34,dpp,18,25.947009161303004
35,dpp,18,22.81629141971983
36,dpp,18,25.662398457522723
37,dpp,18,28.603375729919037
38,dpp,25,29.741818545040186
39,dpp,25,29.50464295855662
40,dpp,25,28.555940612622322
41,dpp,25,29.88412389693034
42,dpp,25,31.734093471502216
43,dpp,25,0.0
44,dpp,25,28.081589439655176
45,dpp,25,0.0
46,dpp,25,26.990581741830734
47,dpp,25,26.46879545156687
48,dpp,25,30.358475069897484
49,dpp,25,24.097039586731132
50,dpp,25,28.887986433699332
51,dpp,25,26.5636656861603
52,dpp,25,25.235482401852288
53,dpp,25,32.587925582843084
54,dpp,25,30.121299483413914
55,dpp,25,28.603375729919044
56,dpp,25,27.891848970468313
57,dpp,25,25.235482401852284
58,dpp,25,26.231619865083292
59,dpp,25,30.358475069897487
60,dpp,25,32.25587976176608
61,dpp,25,31.117436946644922
62,dpp,25,31.97126905798579
63,dpp,25,28.22389479154532
64,dpp,25,26.65853592075373
65,dpp,25,30.073864366117192
66,dpp,25,31.40204765042521
67,dpp,25,31.496917885018643
68,dpp,25,27.74954361857817
69,dpp,25,25.330352636445713
70,dpp,25,27.939284087765035
71,dpp,25,31.402047650425217
72,dpp,25,31.212307181238355
73,dpp,25,31.639223236908784
74,dpp,25,31.259742298535066
75,dpp,25,26.37392521697344
76,dpp,25,0.0
77,dpp,25,33.44175769418395
78,dpp,25,23.575253296467267
79,dpp,25,28.03415432235846
80,dpp,25,25.235482401852288
81,dpp,25,27.464932914797878
82,dpp,25,28.840551316402617
83,dpp,25,23.527818179170556
84,dpp,25,27.32262756290774
85,dpp,25,35.1968570341624
86,dpp,25,0.0
87,dpp,25,28.84055131640261
88,dpp,25,32.493055348249655
89,dpp,25,31.354612533128495
90,dpp,29,25.947009161303
91,dpp,29,22.24707001215925
92,dpp,29,34.53276539200839
93,dpp,29,26.46879545156687
94,dpp,29,0.0
95,dpp,29,27.27519244561102
96,dpp,29,31.022566712051496
97,dpp,29,24.856001463478563
98,dpp,29,33.72636839796424
99,dpp,29,32.91997140392009
100,dpp,29,30.785391125567912
101,dpp,29,30.785391125567916
102,dpp,29,32.91997140392009
103,dpp,29,33.44175769418395
104,dpp,29,28.887986433699332
105,dpp,29,29.64694831044676
106,dpp,29,26.184184747786585
107,dpp,29,26.184184747786585
108,dpp,29,36.287864731986836
109,dpp,29,33.25201722499709
110,dpp,29,22.673986067829684
111,dpp,29,31.876398823392357
112,dpp,29,24.523955642401557
113,dpp,29,26.041879395896437
114,dpp,29,22.34194024675268
115,dpp,29,32.303314879062796
116,dpp,29,26.04187939589644
117,dpp,29,0.0
118,dpp,29,0.0
119,dpp,29,35.62377308983283
120,dpp,29,0.0
121,dpp,29,0.0
122,dpp,29,32.01870417528251
123,dpp,29,0.0
124,dpp,29,0.0
125,dpp,29,29.457207841259905
126,dpp,29,29.172597137479617
127,dpp,29,31.734093471502216
128,dpp,29,0.0
129,dpp,29,27.749543618578173
130,dpp,29,37.094261726030986
131,dpp,29,29.694383427743475
