,x_reach_Hh_over,t_reach_Hh_over,x_reach_Signal_over,t_reach_Signal_over,x_reach_Hh_SS,x_reach_Signal_SS,x_reach_Hh_over_up,t_reach_Hh_over_up,x_reach_Signal_over_up,t_reach_Signal_over_up,x_reach_Hh_SS_up,x_reach_Signal_SS_up,x_reach_Hh_over_down,t_reach_Hh_over_down,x_reach_Signal_over_down,t_reach_Signal_over_down,x_reach_Hh_SS_down,x_reach_Signal_SS_down
0,26.474469966105076,3372,45.54090018525109,19371,26.238838422454606,42.51444370850875,25.589280859680102,2395,37.213737038150704,19687,25.327371353918608,34.25934605582542,27.193557511006517,3564,53.99667633332995,19240,26.966525970670958,50.87205920122455
1,25.327280180928696,4957,34.592217465218454,9096,20.51319805890691,27.19251628507297,24.70985733286541,5093,26.684739193741947,8900,18.995364187079176,19.797588573514275,25.939882043008893,5165,42.75602546484538,9412,22.675153379686748,35.056744684467034
2,15.33027563695066,3919,18.88605112791693,9924,13.825986323735592,17.679959802676265,,57600,,57600,12.080471212560454,12.475577619173208,16.919349116079502,3952,24.54204598606958,9869,15.678237384621994,23.312824582753507
3,26.69422336879711,2627,33.41426143963169,5491,16.068967917431692,19.137722670547703,23.224274011139343,2678,23.61206420402526,5518,13.691970969729567,12.02444066672598,30.197589396695818,2663,44.113426247716106,5588,20.244297922831876,27.919643955727153
4,26.800482144131507,2392,34.445161908022015,8400,21.396197772165777,28.851531181919256,26.23053190145484,2503,26.34860820795845,8614,20.335898954140077,21.42648222540818,27.29730634454036,2326,42.69517391942555,8288,23.18459194565135,36.72764528281535
5,34.6930027345111,6522,15.140052289630901,5077,30.471675430747894,10.513581625255952,33.11137179584051,8191,5.64959022079357,5666,31.74322612180687,3.1022206037519737,35.97714592598095,6024,26.276839283043444,5490,29.03196220332454,19.6016368414585
6,17.28547194150316,6873,22.424345461031507,7645,17.26778266781612,22.80687367930541,,57600,,57600,15.984827030641284,17.215824752420133,18.341448188690194,6872,28.4004420065514,10656,18.292699946423923,28.574569821496723
7,,57600,,57600,31.21162633936447,40.95175215134756,,57600,,57600,28.725425409401097,29.972234210951086,,57600,,57600,34.005845825015655,52.395425651424695
8,19.600042150280615,4751,22.68101747026762,14622,18.013501973838586,19.72738737913778,19.490438114853916,5090,16.874532771283697,14759,18.14355396541535,14.117484532324667,19.70911566293084,4592,28.60407447015298,14625,18.367582910170313,25.496070836742277
9,,57600,,57600,32.51099505352262,24.598468738027123,,57600,,57600,32.154871678038106,14.276990042374749,,57600,,57600,33.61887789347308,35.80067556435051
10,,57600,,57600,19.29451860348803,4.039247703818646,,57600,,57600,19.209570670137595,1.9219272265577132,,57600,,57600,19.292603968543318,9.555670880121554
11,26.16633113387313,10845,16.500378432862945,16550,25.871593587172967,12.884729414152204,24.96327667699059,14857,9.704531670852745,20655,24.983232823176863,6.478801580214096,27.021111894823008,9711,24.66641453636953,16004,26.36093603062227,20.752687577666705
12,37.97155261669884,6101,41.093942420323955,14921,37.59740549269482,40.51753909741264,37.13586630685002,6266,29.24653375696876,15215,36.81407972452654,28.75149392371928,38.69619628665734,6132,53.067669148768225,14898,38.32048197807538,52.34395285311355
13,34.532882773389375,8249,45.012188535339156,13839,33.259892902179885,43.50573941203985,31.872432403380913,8057,33.41329640210964,11549,30.58503092398246,32.164196819912064,36.624570558364965,8709,56.7851017905817,14276,35.613155770678304,55.05736915946694
14,27.854231057269928,2698,30.056945687461564,10012,25.53497302805644,27.66503753602875,27.635985449664716,2347,21.66828820403215,10175,25.47888355844941,19.53025190734806,28.03610977244942,2733,38.58249670309862,9941,26.301813667603184,35.956188607055736
15,,57600,,57600,28.666319646987475,29.886784694896335,,57600,,57600,28.00294222382408,19.856239900484596,,57600,,57600,30.92083991500151,40.770390622886076
16,19.31549421273779,4873,3.3676955913420983,12671,19.469965824796986,3.44792205510916,17.682436556216672,1067,2.023912977707951,57600,17.067304799235743,1.408397247400174,21.888886406907602,5180,10.984101478406515,7174,21.276838514083224,10.239166464561649
17,18.13156917838461,3607,25.1409621896193,6726,15.743337065200421,20.76597485598181,,57600,,57600,14.31323542859289,15.27815726540851,18.860864279650613,3705,31.02814042696781,6949,17.18806903502302,26.477904515714414
18,,57600,,57600,15.62660293323323,16.829573302930086,,57600,,57600,15.45517234689683,11.471736187636736,,57600,,57600,16.616347220920034,22.595578588916055
19,27.26824713045565,2428,5.077886032176934,7477,26.97199782770528,4.8885783735232735,27.028718229383472,1995,2.3157534818377314,57600,26.76827837168193,1.5955667274400298,27.560749049460853,2909,13.259980468351316,6821,26.83758530626359,12.683141696426503
20,39.97586287694633,5035,57.99675620249934,10242,30.876148304357912,45.76413680950434,36.25559623781429,4913,43.66183728900691,10165,26.817225815847152,33.49229028783307,44.039681135355025,5371,73.59220964689412,10511,36.208570431203015,59.86958396462519
21,,57600,,57600,14.506025494603449,18.959985419728028,,57600,,57600,13.078695987232464,13.691231293521156,17.21904264069586,4561,26.227850784656397,12399,16.128421446709666,24.44714794438866
22,25.379231240176637,3784,15.398934149650657,5443,23.888128475133698,11.032939370009203,24.509956171879253,4466,9.62539850680939,5721,23.830919900793248,5.393177187715651,26.157449950588386,3551,23.171772860345982,5517,24.066744509502072,18.596577377138487
23,17.624166929462064,2955,18.957238689495497,13840,16.883284741565063,18.323675505393254,16.625483426190925,1848,13.238714030800708,14618,16.098345705736648,12.703612616681909,18.483098285017192,3044,24.816987880239708,13515,17.770888886406595,24.057257805248668
